movieId,title,primary_genre,x,y
7315,Sky High,Adventure,22.83943,44.6494
660,The Princess Bride,Adventure,-51.332253,-19.665178
2700,Rose (2026),Drama,21.304632,-11.402644
3469,The Sweet East (2023),Comedy,21.217339,42.656578
5259,The Hunger Games: Catching Fire,Adventure,-13.102453,16.46588
3417,Wallace & Gromit: The Curse of the Were-Rabbit (2005),Adventure,-42.303196,-19.209244
4182,Bonolota Express (2026),Drama,45.839462,15.294639
2154,Swapped,Adventure,-45.50293,-18.540644
6080,The Wonder (2022),Drama,0.58612317,0.86450994
6715,A.R.M - Ajayante Randam Moshanam (2024),Action,36.92068,7.703619
823,Nobody (2021),Action,8.497273,-11.266665
6105,Broken Rage (2024),Crime,-36.597637,38.976944
2185,Nocturnal Animals (2016),Drama,-8.686471,-17.998753
1279,Queer (2024),Drama,-12.232231,30.52036
3682,You're Next (2011),Horror,-2.8983197,-7.1203346
2819,Chicken Run (2000),Animation,-42.292953,-19.162943
2839,Paddington in Peru (2024),Adventure,-42.487362,-22.256237
2246,Ghosted (2023),Action,-20.938581,-26.527712
212,John Wick: Chapter 4 (2023),Action,28.037453,-26.42619
1488,Better Days,Drama,36.860744,29.256489
7279,Chef,Comedy,-6.2825584,-14.370572
1918,Boiling Point (2021),Drama,-32.259674,11.323184
600,Chainsaw Man – The Movie: Reze Arc (2025),Animation,1.9800715,-31.968065
5830,Hannibal Rising (2007),Crime,-22.725334,-11.43869
5742,The King of Comedy,Drama,16.83123,-38.407276
2625,Click (2006),Comedy,20.5733,-25.4105
5392,National Treasure (2004),Adventure,-48.028736,-40.283955
5715,The Boy in the Striped Pyjamas,Drama,-24.474262,-12.063769
385,Spider-Man: Far From Home (2019),Action,-24.936264,-57.68181
2540,Pain and Glory (2019),Drama,27.792374,21.268656
5442,21 Grams (2003),Drama,-0.8443094,-18.866713
272,The Brutalist (2024),Drama,-21.139854,-14.299938
3837,Birds of Paradise (2021),Drama,39.502533,-18.91058
7762,Tell It to the Bees (2018),Romance,9.428553,16.289286
1669,Halloween Ends (2022),Horror,-14.61191,46.3381
6523,Mad Max 2 (1981),Action,-13.518418,-35.64808
4269,Serial (Bad) Weddings 2 (2019),Comedy,25.740355,-13.6524
2423,Remember the Titans,Drama,23.876656,45.879242
7838,Invictus (2009),Drama,-31.312029,-3.8853629
5906,Project Wolf Hunting (2022),Action,39.242237,52.55583
4281,The Carpenter's Son (2025),Horror,0.5286115,9.30707
1132,You've Got Mail (1998),Comedy,11.35525,-48.567326
68,Materialists (2025),Romance,11.312226,-42.890408
4622,Junkyard Dog (2023),Drama,-35.972496,-10.907479
3516,Instructions Not Included (2013),Comedy,-39.6433,-1.4089098
5576,"The Tunnel to Summer, the Exit of Goodbyes (2022)",Animation,24.751984,38.25808
10,Happy Gilmore 2 (2025),Comedy,20.978966,-27.198744
137,They Will Kill You,Action,13.103433,-41.646675
2008,The Disaster Artist (2017),Comedy,-21.829224,-0.30378637
3262,Family Switch (2023),Comedy,37.489952,11.07354
996,The Hobbit: An Unexpected Journey,Adventure,-28.867424,-18.192854
2280,Birdman or (The Unexpected Virtue of Ignorance),Drama,16.33381,-40.614994
5884,Burrow (2020),Animation,25.780773,-6.794295
5832,Letters to Juliet,Comedy,-17.767172,17.936556
4549,Marriage Story,Drama,21.001728,-38.945793
3002,Bad Teacher (2011),Comedy,19.674486,48.671455
2971,OSS 117: Lost in Rio (2009),Crime,24.344845,-16.870733
6291,Nymphomaniac (2014),Drama,43.2079,-11.358293
5713,The Zone of Interest,Drama,-24.463787,-9.973204
6357,Rough Night (2017),Drama,26.444334,28.362581
6111,Thiruchitrambalam (2022),Romance,38.73994,1.0398476
2855,Airplane! (1980),Comedy,-14.436272,-30.160284
6174,Masters of the Universe (2026),Action,-27.92756,-41.864548
1809,The Little Mermaid (2023),Adventure,-52.413944,-19.14772
1322,The Beekeeper (2024),Action,7.963814,-13.213215
5294,Blow (2001),Crime,18.481533,-14.154597
1546,Sherlock Holmes (2009),Adventure,-41.048153,30.267494
2955,Becoming Jane (2007),Romance,-41.07225,8.367257
2636,Fly Me to the Moon (2024),Romance,-22.20784,-33.792137
2733,Together,Horror,1.4113694,6.9138117
1187,Dhurandhar The Revenge,Action,48.307438,10.554127
2209,The Breakfast Club,Comedy,17.849087,40.856785
5047,Rio,Animation,-36.827682,-16.295856
7116,Fried Green Tomatoes (1991),Drama,-15.593312,4.54559
