user_id,movie_id,interaction_type,rating,implicit_score,source,watched_date,created_at
user_02024c5f6058,movie_871fea660f35,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_5d698159a979,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_013fc9446ecf,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_ee3c31396b08,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_abe81071e651,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_a66d3f7ee581,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_e18af3485a4f,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_974d12c07a61,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_23a2cb71790b,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_378b57d0114c,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_3ff0917b59a7,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_f80612874d62,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_34436252f567,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_8fbe56e42ae3,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_8907cd2784a3,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_81f7ba5c4398,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_c844a814c20f,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_f919c61663a7,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
user_02024c5f6058,movie_dc8c05f5e47e,watched,,2.5,films_page,,2026-05-25T11:31:02+00:00
