movieId,overview,tagline,director,cast,poster_url,budget,revenue,genres,release_date,runtime,original_language,production_countries,keywords,vote_average,vote_count,popularity,collection_id,collection_name,certification,imdb_id,enrichment_status
1,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
2,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
3,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
4,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
5,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
6,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
7,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
8,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
9,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
10,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
11,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
12,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
13,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
14,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
15,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
16,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
17,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
18,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
19,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
20,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
21,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
22,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
23,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
24,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
25,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
26,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
27,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
28,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
29,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
30,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
31,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
32,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
33,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
34,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
35,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
36,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
37,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
38,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
39,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
40,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
41,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
42,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
43,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
44,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
45,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
46,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
47,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
48,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
49,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
50,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
51,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
52,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
53,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
54,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
55,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
56,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
57,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
58,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
59,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
60,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
61,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
62,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
63,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
64,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
65,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
66,,,,,,0,0,,,0,,,,0,0,0,0,,,,missing_enrichment_placeholder
