movieId,title,primary_genre,x,y
141844,12 Chairs (1971),Comedy,-42.374844,-32.55972
914,My Fair Lady (1964),Comedy,38.44885,-26.669209
4005,"Living Daylights, The (1987)",Action,-51.185543,26.07171
5478,Eight Legged Freaks (2002),Action,-27.468643,0.15185457
26732,Johnny Stecchino (1991),Comedy,2.875638,-15.225723
180045,Molly's Game (2017),Drama,24.36671,30.233067
7090,Hero (Ying xiong) (2002),Drama,-64.81174,7.4274035
3148,"Cider House Rules, The (1999)",Drama,37.02174,4.8222084
27704,Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) (2003),Action,-32.428303,34.186924
103539,The Spectacular Now (2013),Comedy,35.906803,17.292355
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Adventure,-42.610714,15.4401045
4055,Panic (2000),Crime,-3.95284,10.409647
73881,3 Idiots (2009),Drama,9.613657,-11.3618355
1893,Beyond Silence (Jenseits der Stille) (1996),Drama,13.065337,-22.930853
6331,Spellbound (2002),Documentary,17.075773,42.358105
4254,Crocodile Dundee in Los Angeles (2001),Adventure,-5.052084,-23.735989
4285,Frankie and Johnny (1991),Drama,34.42812,-16.907154
3344,Blood Feast (1963),Horror,-25.043367,-9.288375
239,"Goofy Movie, A (1995)",Adventure,-47.031048,-22.495634
2296,"Night at the Roxbury, A (1998)",Comedy,17.575035,5.699463
4889,Heist (2001),Action,7.1082277,-40.96023
56339,"Orphanage, The (Orfanato, El) (2007)",Horror,-14.679972,4.1835074
784,"Cable Guy, The (1996)",Comedy,36.996834,-0.4160414
68872,Paisan (Paisà) (1946),Drama,-3.38435,29.899044
5224,Promises (2001),Documentary,14.096546,43.449566
60293,"Wackness, The (2008)",Drama,33.052628,12.247462
1936,Mrs. Miniver (1942),Drama,-6.480194,38.214836
67695,Observe and Report (2009),Comedy,5.6071334,-11.656948
456,Fresh (1994),Crime,-1.3628006,-5.2478337
75985,Repo Men (2010),Action,-26.381588,13.758724
53140,"Librarian: Quest for the Spear, The (2004)",Adventure,-47.32155,-3.5491042
316,Stargate (1994),Action,-39.41535,12.367343
6535,"Legally Blonde 2: Red, White & Blonde (2003)",Comedy,34.14644,-40.96592
944,Lost Horizon (1937),Adventure,-41.577435,3.698403
2428,"Faculty, The (1998)",Horror,-32.731674,4.8420506
92048,"Whistleblower, The (2010)",Drama,4.8380575,3.8343651
7352,Wilbur Wants to Kill Himself (2002),Comedy,15.221394,-8.070877
185031,Alpha (2018),Adventure,-38.23881,-23.283766
2866,"Buddy Holly Story, The (1978)",Drama,49.81394,-0.42887378
4518,The Lair of the White Worm (1988),Horror,-23.14241,-13.0002
7706,Animal Crackers (1930),Comedy,36.071167,-27.726444
161634,Don't Breathe (2016),Horror,-27.891613,-15.000751
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,35.191265,-0.0969874
8860,Cellular (2004),Action,-9.165767,-22.05697
7982,"Tale of Two Sisters, A (Janghwa, Hongryeon) (2003)",Drama,-25.293068,-4.922467
57528,Rambo (Rambo 4) (2008),Action,-23.768074,23.56657
83134,Tucker & Dale vs Evil (2010),Comedy,-17.777103,4.7626166
157,Canadian Bacon (1995),Comedy,4.548272,43.512253
32460,Knockin' on Heaven's Door (1997),Comedy,3.3951118,-18.846296
92243,"Flowers of War, The (Jin líng shí san chai) (2011)",Drama,-63.79404,8.755568
1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary,20.889286,37.17466
3435,Double Indemnity (1944),Crime,-7.9446983,-13.371013
107771,Only Lovers Left Alive (2013),Drama,9.727767,20.536085
158027,SORI: Voice from the Heart (2016),Drama,-54.18951,4.497617
6775,Life and Debt (2001),Documentary,14.022019,43.783165
4529,Bagdad Cafe (Out of Rosenheim) (1987),Comedy,-1.5549217,-21.024206
4452,Made (2001),Comedy,32.413807,-9.665297
30749,Hotel Rwanda (2004),Drama,0.59870553,41.145664
27821,"Interpreter, The (2005)",Crime,1.6800914,6.983013
90576,What's Your Number? (2011),Comedy,21.911715,-19.676182
80478,"Man Vanishes, A (Ningen Johatsu) (1967)",Drama,8.341147,38.64155
4383,"Crimson Rivers, The (Rivières pourpres, Les) (2000)",Crime,-13.572146,-8.537282
85736,BURN-E (2008),Animation,-50.84656,-10.285145
2713,Lake Placid (1999),Horror,-29.114243,-0.8036598
2013,"Poseidon Adventure, The (1972)",Adventure,-5.957097,18.597347
47640,Beerfest (2006),Comedy,10.177169,15.815099
2342,Hard Core Logo (1996),Drama,46.359028,0.46785676
4356,Gentlemen Prefer Blondes (1953),Comedy,30.221893,-21.404533
3900,Crime and Punishment in Suburbia (2000),Drama,-7.2757173,7.9408636
4085,Beverly Hills Cop (1984),Comedy,-13.841269,-28.023153
1747,Wag the Dog (1997),Comedy,-17.849512,30.632977
