dataset,protocol,model,model_family,source,tuned_weights,precision@10,recall@10,ndcg@10,mrr@10,precision@20,recall@20,ndcg@20,mrr@20,rmse,mae,best_epoch,artifact_dir,command,seed,warm_precision@10,warm_recall@10,warm_ndcg@10,warm_mrr@10,cold_precision@10,cold_recall@10,cold_ndcg@10,cold_mrr@10,warm_interactions,cold_interactions
letterboxd-full,per_user_temporal_80_10_10_pos4_full,two-tower-tfidf,two_tower,pytorch_two_tower,"{""collaborative"": 0.55, ""content"": 0.35, ""popularity"": 0.1}",0.0025287356321839,0.0055363984674329,0.0037799012076398,0.0066757890895821,,,,,,,14.0,artifacts/recommender/letterboxd-full/two-tower,,42,0.0027363184079601,0.0066127694859038,0.0043288497801612,0.0072238016267867,0.0,0.0,0.0,0.0,2657.0,745.0
ml-latest-small,per_user_temporal_80_10_10_pos4_full,hybrid-bpr-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.8125, ""content"": 0.18749999999999997, ""popularity"": 0.0}",0.0375886524822695,0.060331839007955704,0.05441215166541153,0.09638917032534053,,,,,1.6976710557937622,,,artifacts/recommender/ml-latest-small/hybrid-bpr-tfidf,scripts/tune_hybrid.py --data-dir data/ml-latest-small --cf-artifact-dir artifacts/recommender/ml-latest-small/recbole-bpr,42,0.037544483985765126,0.061241944335497074,0.05471038375188991,0.09647799807942156,0.001075268817204301,0.000346860908775581,0.0007888593774124736,0.0015360983102918587,9146,947
ml-latest-small,per_user_temporal_80_10_10_pos4_full,recbole-ItemKNN,itemknn,recbole,{},0.0329,0.0597,0.0524,0.0978,0.0302,0.1148,0.0691,0.1049,,,,,"scripts/benchmark_recbole.py --data-dir data/ml-latest-small --dataset-name ml-latest-small --models Pop,ItemKNN,BPR,LightGCN --top-k 10 20",42,,,,,,,,,,
ml-latest-small,per_user_temporal_80_10_10_pos4_full,hybrid-lightgcn-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.6470588235294118, ""content"": 0.1764705882352941, ""popularity"": 0.1764705882352941}",0.03439716312056738,0.058782449709003384,0.051144066655759414,0.09245328154902623,,,,,1.4535467624664307,,,artifacts/recommender/ml-latest-small/hybrid-lightgcn-tfidf,scripts/tune_hybrid.py --data-dir data/ml-latest-small --cf-artifact-dir artifacts/recommender/ml-latest-small/lightgcn,42,0.03451957295373666,0.05966716820995296,0.05155265123368959,0.0927822967858555,0.0,0.0,0.0,0.0,9146,947
ml-latest-small,per_user_temporal_80_10_10_pos4_full,hybrid-recbolelightgcn-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.7142857142857143, ""content"": 0.14285714285714285, ""popularity"": 0.14285714285714285}",0.03333333333333333,0.05578432059132007,0.04964578417701834,0.09081461780929866,,,,,1.5666486024856567,,,artifacts/recommender/ml-latest-small/hybrid-recbolelightgcn-tfidf,scripts/tune_hybrid.py --data-dir data/ml-latest-small --cf-artifact-dir artifacts/recommender/ml-latest-small/recbole-lightgcn,42,0.03345195729537367,0.056647595468838775,0.050051198818809366,0.09113780150257018,0.0,0.0,0.0,0.0,9146,947
ml-latest-small,per_user_temporal_80_10_10_pos4_full,hybrid-twotower-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.2857142857142857, ""content"": 0.5238095238095238, ""popularity"": 0.19047619047619047}",0.031737588652482274,0.05285194203839269,0.04907402526989376,0.09163148711021052,,,,,1.4845631122589111,,,artifacts/recommender/ml-latest-small/hybrid-twotower-tfidf,scripts/tune_hybrid.py --data-dir data/ml-latest-small --cf-artifact-dir artifacts/recommender/ml-latest-small/two-tower,42,0.031850533807829186,0.05375287214208307,0.04941059925198809,0.09195757781167034,0.0,0.0,0.0,0.0,9146,947
ml-latest-small,per_user_temporal_80_10_10_pos4_full,recbole-BPR,bpr,recbole,{},0.0276,0.0565,0.0476,0.0878,0.0226,0.0896,0.0574,0.0933,,,,artifacts/recommender/ml-latest-small/recbole-bpr,"scripts/benchmark_recbole.py --data-dir data/ml-latest-small --dataset-name ml-latest-small --models Pop,ItemKNN,BPR,LightGCN --top-k 10 20",42,,,,,,,,,,
ml-latest-small,per_user_temporal_80_10_10_pos4_full,hybrid-svd-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.35294117647058826, ""content"": 0.411764705882353, ""popularity"": 0.23529411764705888}",0.03102836879432624,0.047073335024590775,0.04485573117914506,0.08090875830237532,,,,,0.9043042659759521,,,artifacts/recommender/ml-latest-small/hybrid-svd-tfidf,scripts/tune_hybrid.py --data-dir data/ml-latest-small --cf-artifact-dir artifacts/recommender/ml-latest-small/svd,42,0.03113879003558719,0.04799819569361039,0.04525301838434683,0.08119668982658305,0.0,0.0,0.0,0.0,9146,947
ml-latest-small,per_user_temporal_80_10_10_pos4_full,lightgcn-pytorch,lightgcn,pytorch_lightgcn,{},0.026418439716312057,0.04583478051827734,0.0447071259741433,0.08535826860294946,,,,,,,7,artifacts/recommender/ml-latest-small/lightgcn,scripts/train_lightgcn.py --data-dir data/ml-latest-small,42,0.026512455516014236,0.046552654890358564,0.044951973386755086,0.085662034683387,0.0,0.0,0.0,0.0,9146,947
ml-latest-small,per_user_temporal_80_10_10_pos4_full,recbole-LightGCN,lightgcn,recbole,{},0.0228,0.0435,0.0408,0.0786,0.02,0.075,0.0507,0.0844,,,,artifacts/recommender/ml-latest-small/recbole-lightgcn,"scripts/benchmark_recbole.py --data-dir data/ml-latest-small --dataset-name ml-latest-small --models Pop,ItemKNN,BPR,LightGCN --top-k 10 20",42,,,,,,,,,,
ml-latest-small,per_user_temporal_80_10_10_pos4_full,hybrid-pytorch-svd-tfidf,hybrid,runtime_fit,"{""collaborative"": 0.55, ""content"": 0.35, ""popularity"": 0.1}",0.02375886524822695,0.03322790441518959,0.033840030387801395,0.06826381852977598,,,,,0.9903233051300049,,,artifacts/recommender/ml-latest-small/baseline,,42,0.023843416370106764,0.033926885132398645,0.034112970756946116,0.06850675026831611,0.0,0.0,0.0,0.0,9146.0,947.0
ml-latest-small,per_user_temporal_80_10_10_pos4_full,hybrid-baseline,hybrid,runtime_fit,{},0.02375886524822695,0.03322790441518959,0.033840030387801395,0.06826381852977598,,,,,0.9903233051300049,,,artifacts/recommender/ml-latest-small/baseline,scripts/train_baseline.py --data-dir data/ml-latest-small,42,0.023843416370106764,0.033926885132398645,0.034112970756946116,0.06850675026831611,0.0,0.0,0.0,0.0,9146.0,947.0
ml-latest-small,per_user_temporal_80_10_10_pos4_full,recbole-Pop,pop,recbole,{},0.0202,0.0376,0.031,0.0591,0.0183,0.0711,0.0415,0.065,,,,,"scripts/benchmark_recbole.py --data-dir data/ml-latest-small --dataset-name ml-latest-small --models Pop,ItemKNN,BPR,LightGCN --top-k 10 20",42,,,,,,,,,,
ml-latest-small,per_user_temporal_80_10_10_pos4_full,content-tfidf,content,content_baseline,{},0.013297872340425532,0.025430155231707878,0.02138752035043007,0.03854905437352246,,,,,,,,artifacts/recommender/ml-latest-small/content,scripts/train_content_baseline.py --data-dir data/ml-latest-small,42,0.013167259786476869,0.02640245690064692,0.021820957654541773,0.038330367734282327,0.001075268817204301,0.0009775171065493646,0.0009155173939959246,0.002150537634408602,9146.0,947.0
ml-latest-small,per_user_temporal_80_10_10_pos4_full,two-tower-tfidf,two_tower,pytorch_two_tower,{},0.010815602836879434,0.01875156065977906,0.017320780748322807,0.03435916919959473,,,,,,,33,artifacts/recommender/ml-latest-small/two-tower,scripts/train_two_tower.py --data-dir data/ml-latest-small,42,0.010854092526690392,0.018921747392370517,0.01740902869247414,0.03448144382308083,0.0,0.0,0.0,0.0,9146,947
ml-latest-small,per_user_temporal_80_10_10_pos4_full,svd-pytorch,svd,pytorch_svd,{},0.00549645390070922,0.008374384901718287,0.007209960814059993,0.015052628616458402,,,,,0.8921972513198853,0.6838202476501465,2,artifacts/recommender/ml-latest-small/svd,scripts/train_svd.py --data-dir data/ml-latest-small,42,0.005516014234875445,0.008696114676994963,0.007353428080451418,0.015106196689826582,0.0,0.0,0.0,0.0,9146,947
