userId,movieId,rating,timestamp
101,1,5.0,1700000101
101,2,4.0,1700000102
101,12,4.5,1700000103
101,16,4.0,1700000104
101,19,5.0,1700000105
101,23,3.5,1700000106
102,3,4.0,1700000201
102,5,4.5,1700000202
102,7,4.0,1700000203
102,17,5.0,1700000204
102,20,5.0,1700000205
102,21,4.5,1700000206
102,22,4.0,1700000207
103,7,5.0,1700000301
103,8,5.0,1700000302
103,13,4.5,1700000303
103,18,4.5,1700000304
103,20,4.0,1700000305
103,24,4.0,1700000306
104,11,4.0,1700000401
104,14,5.0,1700000402
104,15,4.5,1700000403
104,16,4.0,1700000404
104,17,4.5,1700000405
104,21,5.0,1700000406
104,22,5.0,1700000407
105,4,4.0,1700000501
105,6,4.5,1700000502
105,10,5.0,1700000503
105,23,5.0,1700000504
105,1,3.5,1700000505
105,12,3.5,1700000506
106,6,4.0,1700000601
106,9,4.5,1700000602
106,13,4.0,1700000603
106,18,4.5,1700000604
106,24,5.0,1700000605
106,25,4.5,1700000606
107,3,4.5,1700000701
107,5,4.0,1700000702
107,9,5.0,1700000703
107,11,4.5,1700000704
107,14,4.0,1700000705
107,20,4.0,1700000706
108,1,4.0,1700000801
108,4,4.5,1700000802
108,6,4.0,1700000803
108,10,4.5,1700000804
108,19,4.0,1700000805
108,23,4.0,1700000806
109,2,4.0,1700000901
109,12,4.0,1700000902
109,14,4.5,1700000903
109,16,5.0,1700000904
109,19,4.0,1700000905
109,25,4.5,1700000906
110,3,4.0,1700001001
110,7,4.5,1700001002
110,8,4.0,1700001003
110,13,5.0,1700001004
110,18,4.0,1700001005
110,24,4.5,1700001006
